,species,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,is_Male,island_Dream,island_Torgersen
0,Adelie,39.1,18.7,181.0,3750.0,1,0,1
1,Adelie,39.5,17.4,186.0,3800.0,0,0,1
2,Adelie,40.3,18.0,195.0,3250.0,0,0,1
3,Adelie,36.7,19.3,193.0,3450.0,0,0,1
4,Adelie,39.3,20.6,190.0,3650.0,1,0,1
5,Adelie,38.9,17.8,181.0,3625.0,0,0,1
6,Adelie,39.2,19.6,195.0,4675.0,1,0,1
7,Adelie,41.1,17.6,182.0,3200.0,0,0,1
8,Adelie,38.6,21.2,191.0,3800.0,1,0,1
9,Adelie,34.6,21.1,198.0,4400.0,1,0,1
10,Adelie,36.6,17.8,185.0,3700.0,0,0,1
11,Adelie,38.7,19.0,195.0,3450.0,0,0,1
12,Adelie,42.5,20.7,197.0,4500.0,1,0,1
13,Adelie,34.4,18.4,184.0,3325.0,0,0,1
14,Adelie,46.0,21.5,194.0,4200.0,1,0,1
15,Adelie,37.8,18.3,174.0,3400.0,0,0,0
16,Adelie,37.7,18.7,180.0,3600.0,1,0,0
17,Adelie,35.9,19.2,189.0,3800.0,0,0,0
18,Adelie,38.2,18.1,185.0,3950.0,1,0,0
19,Adelie,38.8,17.2,180.0,3800.0,1,0,0
20,Adelie,35.3,18.9,187.0,3800.0,0,0,0
21,Adelie,40.6,18.6,183.0,3550.0,1,0,0
22,Adelie,40.5,17.9,187.0,3200.0,0,0,0
23,Adelie,37.9,18.6,172.0,3150.0,0,0,0
24,Adelie,40.5,18.9,180.0,3950.0,1,0,0
25,Adelie,39.5,16.7,178.0,3250.0,0,1,0
26,Adelie,37.2,18.1,178.0,3900.0,1,1,0
27,Adelie,39.5,17.8,188.0,3300.0,0,1,0
28,Adelie,40.9,18.9,184.0,3900.0,1,1,0
29,Adelie,36.4,17.0,195.0,3325.0,0,1,0
30,Adelie,39.2,21.1,196.0,4150.0,1,1,0
31,Adelie,38.8,20.0,190.0,3950.0,1,1,0
32,Adelie,42.2,18.5,180.0,3550.0,0,1,0
33,Adelie,37.6,19.3,181.0,3300.0,0,1,0
34,Adelie,39.8,19.1,184.0,4650.0,1,1,0
35,Adelie,36.5,18.0,182.0,3150.0,0,1,0
36,Adelie,40.8,18.4,195.0,3900.0,1,1,0
37,Adelie,36.0,18.5,186.0,3100.0,0,1,0
38,Adelie,44.1,19.7,196.0,4400.0,1,1,0
39,Adelie,37.0,16.9,185.0,3000.0,0,1,0
40,Adelie,39.6,18.8,190.0,4600.0,1,1,0
41,Adelie,41.1,19.0,182.0,3425.0,1,1,0
42,Adelie,36.0,17.9,190.0,3450.0,0,1,0
43,Adelie,42.3,21.2,191.0,4150.0,1,1,0
44,Adelie,39.6,17.7,186.0,3500.0,0,0,0
45,Adelie,40.1,18.9,188.0,4300.0,1,0,0
46,Adelie,35.0,17.9,190.0,3450.0,0,0,0
47,Adelie,42.0,19.5,200.0,4050.0,1,0,0
48,Adelie,34.5,18.1,187.0,2900.0,0,0,0
49,Adelie,41.4,18.6,191.0,3700.0,1,0,0
50,Adelie,39.0,17.5,186.0,3550.0,0,0,0
51,Adelie,40.6,18.8,193.0,3800.0,1,0,0
52,Adelie,36.5,16.6,181.0,2850.0,0,0,0
53,Adelie,37.6,19.1,194.0,3750.0,1,0,0
54,Adelie,35.7,16.9,185.0,3150.0,0,0,0
55,Adelie,41.3,21.1,195.0,4400.0,1,0,0
56,Adelie,37.6,17.0,185.0,3600.0,0,0,0
57,Adelie,41.1,18.2,192.0,4050.0,1,0,0
58,Adelie,36.4,17.1,184.0,2850.0,0,0,0
59,Adelie,41.6,18.0,192.0,3950.0,1,0,0
60,Adelie,35.5,16.2,195.0,3350.0,0,0,0
61,Adelie,41.1,19.1,188.0,4100.0,1,0,0
62,Adelie,35.9,16.6,190.0,3050.0,0,0,1
63,Adelie,41.8,19.4,198.0,4450.0,1,0,1
64,Adelie,33.5,19.0,190.0,3600.0,0,0,1
65,Adelie,39.7,18.4,190.0,3900.0,1,0,1
66,Adelie,39.6,17.2,196.0,3550.0,0,0,1
67,Adelie,45.8,18.9,197.0,4150.0,1,0,1
68,Adelie,35.5,17.5,190.0,3700.0,0,0,1
69,Adelie,42.8,18.5,195.0,4250.0,1,0,1
70,Adelie,40.9,16.8,191.0,3700.0,0,0,1
71,Adelie,37.2,19.4,184.0,3900.0,1,0,1
72,Adelie,36.2,16.1,187.0,3550.0,0,0,1
73,Adelie,42.1,19.1,195.0,4000.0,1,0,1
74,Adelie,34.6,17.2,189.0,3200.0,0,0,1
75,Adelie,42.9,17.6,196.0,4700.0,1,0,1
76,Adelie,36.7,18.8,187.0,3800.0,0,0,1
77,Adelie,35.1,19.4,193.0,4200.0,1,0,1
78,Adelie,37.3,17.8,191.0,3350.0,0,1,0
79,Adelie,41.3,20.3,194.0,3550.0,1,1,0
80,Adelie,36.3,19.5,190.0,3800.0,1,1,0
81,Adelie,36.9,18.6,189.0,3500.0,0,1,0
82,Adelie,38.3,19.2,189.0,3950.0,1,1,0
83,Adelie,38.9,18.8,190.0,3600.0,0,1,0
84,Adelie,35.7,18.0,202.0,3550.0,0,1,0
85,Adelie,41.1,18.1,205.0,4300.0,1,1,0
86,Adelie,34.0,17.1,185.0,3400.0,0,1,0
87,Adelie,39.6,18.1,186.0,4450.0,1,1,0
88,Adelie,36.2,17.3,187.0,3300.0,0,1,0
89,Adelie,40.8,18.9,208.0,4300.0,1,1,0
90,Adelie,38.1,18.6,190.0,3700.0,0,1,0
91,Adelie,40.3,18.5,196.0,4350.0,1,1,0
92,Adelie,33.1,16.1,178.0,2900.0,0,1,0
93,Adelie,43.2,18.5,192.0,4100.0,1,1,0
94,Adelie,35.0,17.9,192.0,3725.0,0,0,0
95,Adelie,41.0,20.0,203.0,4725.0,1,0,0
96,Adelie,37.7,16.0,183.0,3075.0,0,0,0
97,Adelie,37.8,20.0,190.0,4250.0,1,0,0
98,Adelie,37.9,18.6,193.0,2925.0,0,0,0
99,Adelie,39.7,18.9,184.0,3550.0,1,0,0
100,Adelie,38.6,17.2,199.0,3750.0,0,0,0
101,Adelie,38.2,20.0,190.0,3900.0,1,0,0
102,Adelie,38.1,17.0,181.0,3175.0,0,0,0
103,Adelie,43.2,19.0,197.0,4775.0,1,0,0
104,Adelie,38.1,16.5,198.0,3825.0,0,0,0
105,Adelie,45.6,20.3,191.0,4600.0,1,0,0
106,Adelie,39.7,17.7,193.0,3200.0,0,0,0
107,Adelie,42.2,19.5,197.0,4275.0,1,0,0
108,Adelie,39.6,20.7,191.0,3900.0,0,0,0
109,Adelie,42.7,18.3,196.0,4075.0,1,0,0
110,Adelie,38.6,17.0,188.0,2900.0,0,0,1
111,Adelie,37.3,20.5,199.0,3775.0,1,0,1
112,Adelie,35.7,17.0,189.0,3350.0,0,0,1
113,Adelie,41.1,18.6,189.0,3325.0,1,0,1
114,Adelie,36.2,17.2,187.0,3150.0,0,0,1
115,Adelie,37.7,19.8,198.0,3500.0,1,0,1
116,Adelie,40.2,17.0,176.0,3450.0,0,0,1
117,Adelie,41.4,18.5,202.0,3875.0,1,0,1
118,Adelie,35.2,15.9,186.0,3050.0,0,0,1
119,Adelie,40.6,19.0,199.0,4000.0,1,0,1
120,Adelie,38.8,17.6,191.0,3275.0,0,0,1
121,Adelie,41.5,18.3,195.0,4300.0,1,0,1
122,Adelie,39.0,17.1,191.0,3050.0,0,0,1
123,Adelie,44.1,18.0,210.0,4000.0,1,0,1
124,Adelie,38.5,17.9,190.0,3325.0,0,0,1
125,Adelie,43.1,19.2,197.0,3500.0,1,0,1
126,Adelie,36.8,18.5,193.0,3500.0,0,1,0
127,Adelie,37.5,18.5,199.0,4475.0,1,1,0
128,Adelie,38.1,17.6,187.0,3425.0,0,1,0
129,Adelie,41.1,17.5,190.0,3900.0,1,1,0
130,Adelie,35.6,17.5,191.0,3175.0,0,1,0
131,Adelie,40.2,20.1,200.0,3975.0,1,1,0
132,Adelie,37.0,16.5,185.0,3400.0,0,1,0
133,Adelie,39.7,17.9,193.0,4250.0,1,1,0
134,Adelie,40.2,17.1,193.0,3400.0,0,1,0
135,Adelie,40.6,17.2,187.0,3475.0,1,1,0
136,Adelie,32.1,15.5,188.0,3050.0,0,1,0
137,Adelie,40.7,17.0,190.0,3725.0,1,1,0
138,Adelie,37.3,16.8,192.0,3000.0,0,1,0
139,Adelie,39.0,18.7,185.0,3650.0,1,1,0
140,Adelie,39.2,18.6,190.0,4250.0,1,1,0
141,Adelie,36.6,18.4,184.0,3475.0,0,1,0
142,Adelie,36.0,17.8,195.0,3450.0,0,1,0
143,Adelie,37.8,18.1,193.0,3750.0,1,1,0
144,Adelie,36.0,17.1,187.0,3700.0,0,1,0
145,Adelie,41.5,18.5,201.0,4000.0,1,1,0
146,Chinstrap,46.5,17.9,192.0,3500.0,0,1,0
147,Chinstrap,50.0,19.5,196.0,3900.0,1,1,0
148,Chinstrap,51.3,19.2,193.0,3650.0,1,1,0
149,Chinstrap,45.4,18.7,188.0,3525.0,0,1,0
150,Chinstrap,52.7,19.8,197.0,3725.0,1,1,0
151,Chinstrap,45.2,17.8,198.0,3950.0,0,1,0
152,Chinstrap,46.1,18.2,178.0,3250.0,0,1,0
153,Chinstrap,51.3,18.2,197.0,3750.0,1,1,0
154,Chinstrap,46.0,18.9,195.0,4150.0,0,1,0
155,Chinstrap,51.3,19.9,198.0,3700.0,1,1,0
156,Chinstrap,46.6,17.8,193.0,3800.0,0,1,0
157,Chinstrap,51.7,20.3,194.0,3775.0,1,1,0
158,Chinstrap,47.0,17.3,185.0,3700.0,0,1,0
159,Chinstrap,52.0,18.1,201.0,4050.0,1,1,0
160,Chinstrap,45.9,17.1,190.0,3575.0,0,1,0
161,Chinstrap,50.5,19.6,201.0,4050.0,1,1,0
162,Chinstrap,50.3,20.0,197.0,3300.0,1,1,0
163,Chinstrap,58.0,17.8,181.0,3700.0,0,1,0
164,Chinstrap,46.4,18.6,190.0,3450.0,0,1,0
165,Chinstrap,49.2,18.2,195.0,4400.0,1,1,0
166,Chinstrap,42.4,17.3,181.0,3600.0,0,1,0
167,Chinstrap,48.5,17.5,191.0,3400.0,1,1,0
168,Chinstrap,43.2,16.6,187.0,2900.0,0,1,0
169,Chinstrap,50.6,19.4,193.0,3800.0,1,1,0
170,Chinstrap,46.7,17.9,195.0,3300.0,0,1,0
171,Chinstrap,52.0,19.0,197.0,4150.0,1,1,0
172,Chinstrap,50.5,18.4,200.0,3400.0,0,1,0
173,Chinstrap,49.5,19.0,200.0,3800.0,1,1,0
174,Chinstrap,46.4,17.8,191.0,3700.0,0,1,0
175,Chinstrap,52.8,20.0,205.0,4550.0,1,1,0
176,Chinstrap,40.9,16.6,187.0,3200.0,0,1,0
177,Chinstrap,54.2,20.8,201.0,4300.0,1,1,0
178,Chinstrap,42.5,16.7,187.0,3350.0,0,1,0
179,Chinstrap,51.0,18.8,203.0,4100.0,1,1,0
180,Chinstrap,49.7,18.6,195.0,3600.0,1,1,0
181,Chinstrap,47.5,16.8,199.0,3900.0,0,1,0
182,Chinstrap,47.6,18.3,195.0,3850.0,0,1,0
183,Chinstrap,52.0,20.7,210.0,4800.0,1,1,0
184,Chinstrap,46.9,16.6,192.0,2700.0,0,1,0
185,Chinstrap,53.5,19.9,205.0,4500.0,1,1,0
186,Chinstrap,49.0,19.5,210.0,3950.0,1,1,0
187,Chinstrap,46.2,17.5,187.0,3650.0,0,1,0
188,Chinstrap,50.9,19.1,196.0,3550.0,1,1,0
189,Chinstrap,45.5,17.0,196.0,3500.0,0,1,0
190,Chinstrap,50.9,17.9,196.0,3675.0,0,1,0
191,Chinstrap,50.8,18.5,201.0,4450.0,1,1,0
192,Chinstrap,50.1,17.9,190.0,3400.0,0,1,0
193,Chinstrap,49.0,19.6,212.0,4300.0,1,1,0
194,Chinstrap,51.5,18.7,187.0,3250.0,1,1,0
195,Chinstrap,49.8,17.3,198.0,3675.0,0,1,0
196,Chinstrap,48.1,16.4,199.0,3325.0,0,1,0
197,Chinstrap,51.4,19.0,201.0,3950.0,1,1,0
198,Chinstrap,45.7,17.3,193.0,3600.0,0,1,0
199,Chinstrap,50.7,19.7,203.0,4050.0,1,1,0
200,Chinstrap,42.5,17.3,187.0,3350.0,0,1,0
201,Chinstrap,52.2,18.8,197.0,3450.0,1,1,0
202,Chinstrap,45.2,16.6,191.0,3250.0,0,1,0
203,Chinstrap,49.3,19.9,203.0,4050.0,1,1,0
204,Chinstrap,50.2,18.8,202.0,3800.0,1,1,0
205,Chinstrap,45.6,19.4,194.0,3525.0,0,1,0
206,Chinstrap,51.9,19.5,206.0,3950.0,1,1,0
207,Chinstrap,46.8,16.5,189.0,3650.0,0,1,0
208,Chinstrap,45.7,17.0,195.0,3650.0,0,1,0
209,Chinstrap,55.8,19.8,207.0,4000.0,1,1,0
210,Chinstrap,43.5,18.1,202.0,3400.0,0,1,0
211,Chinstrap,49.6,18.2,193.0,3775.0,1,1,0
212,Chinstrap,50.8,19.0,210.0,4100.0,1,1,0
213,Chinstrap,50.2,18.7,198.0,3775.0,0,1,0
214,Gentoo,46.1,13.2,211.0,4500.0,0,0,0
215,Gentoo,50.0,16.3,230.0,5700.0,1,0,0
216,Gentoo,48.7,14.1,210.0,4450.0,0,0,0
217,Gentoo,50.0,15.2,218.0,5700.0,1,0,0
218,Gentoo,47.6,14.5,215.0,5400.0,1,0,0
219,Gentoo,46.5,13.5,210.0,4550.0,0,0,0
220,Gentoo,45.4,14.6,211.0,4800.0,0,0,0
221,Gentoo,46.7,15.3,219.0,5200.0,1,0,0
222,Gentoo,43.3,13.4,209.0,4400.0,0,0,0
223,Gentoo,46.8,15.4,215.0,5150.0,1,0,0
224,Gentoo,40.9,13.7,214.0,4650.0,0,0,0
225,Gentoo,49.0,16.1,216.0,5550.0,1,0,0
226,Gentoo,45.5,13.7,214.0,4650.0,0,0,0
227,Gentoo,48.4,14.6,213.0,5850.0,1,0,0
228,Gentoo,45.8,14.6,210.0,4200.0,0,0,0
229,Gentoo,49.3,15.7,217.0,5850.0,1,0,0
230,Gentoo,42.0,13.5,210.0,4150.0,0,0,0
231,Gentoo,49.2,15.2,221.0,6300.0,1,0,0
232,Gentoo,46.2,14.5,209.0,4800.0,0,0,0
233,Gentoo,48.7,15.1,222.0,5350.0,1,0,0
234,Gentoo,50.2,14.3,218.0,5700.0,1,0,0
235,Gentoo,45.1,14.5,215.0,5000.0,0,0,0
236,Gentoo,46.5,14.5,213.0,4400.0,0,0,0
237,Gentoo,46.3,15.8,215.0,5050.0,1,0,0
238,Gentoo,42.9,13.1,215.0,5000.0,0,0,0
239,Gentoo,46.1,15.1,215.0,5100.0,1,0,0
240,Gentoo,47.8,15.0,215.0,5650.0,1,0,0
241,Gentoo,48.2,14.3,210.0,4600.0,0,0,0
242,Gentoo,50.0,15.3,220.0,5550.0,1,0,0
243,Gentoo,47.3,15.3,222.0,5250.0,1,0,0
244,Gentoo,42.8,14.2,209.0,4700.0,0,0,0
245,Gentoo,45.1,14.5,207.0,5050.0,0,0,0
246,Gentoo,59.6,17.0,230.0,6050.0,1,0,0
247,Gentoo,49.1,14.8,220.0,5150.0,0,0,0
248,Gentoo,48.4,16.3,220.0,5400.0,1,0,0
249,Gentoo,42.6,13.7,213.0,4950.0,0,0,0
250,Gentoo,44.4,17.3,219.0,5250.0,1,0,0
251,Gentoo,44.0,13.6,208.0,4350.0,0,0,0
252,Gentoo,48.7,15.7,208.0,5350.0,1,0,0
253,Gentoo,42.7,13.7,208.0,3950.0,0,0,0
254,Gentoo,49.6,16.0,225.0,5700.0,1,0,0
255,Gentoo,45.3,13.7,210.0,4300.0,0,0,0
256,Gentoo,49.6,15.0,216.0,4750.0,1,0,0
257,Gentoo,50.5,15.9,222.0,5550.0,1,0,0
258,Gentoo,43.6,13.9,217.0,4900.0,0,0,0
259,Gentoo,45.5,13.9,210.0,4200.0,0,0,0
260,Gentoo,50.5,15.9,225.0,5400.0,1,0,0
261,Gentoo,44.9,13.3,213.0,5100.0,0,0,0
262,Gentoo,45.2,15.8,215.0,5300.0,1,0,0
263,Gentoo,46.6,14.2,210.0,4850.0,0,0,0
264,Gentoo,48.5,14.1,220.0,5300.0,1,0,0
265,Gentoo,45.1,14.4,210.0,4400.0,0,0,0
266,Gentoo,50.1,15.0,225.0,5000.0,1,0,0
267,Gentoo,46.5,14.4,217.0,4900.0,0,0,0
268,Gentoo,45.0,15.4,220.0,5050.0,1,0,0
269,Gentoo,43.8,13.9,208.0,4300.0,0,0,0
270,Gentoo,45.5,15.0,220.0,5000.0,1,0,0
271,Gentoo,43.2,14.5,208.0,4450.0,0,0,0
272,Gentoo,50.4,15.3,224.0,5550.0,1,0,0
273,Gentoo,45.3,13.8,208.0,4200.0,0,0,0
274,Gentoo,46.2,14.9,221.0,5300.0,1,0,0
275,Gentoo,45.7,13.9,214.0,4400.0,0,0,0
276,Gentoo,54.3,15.7,231.0,5650.0,1,0,0
277,Gentoo,45.8,14.2,219.0,4700.0,0,0,0
278,Gentoo,49.8,16.8,230.0,5700.0,1,0,0
279,Gentoo,49.5,16.2,229.0,5800.0,1,0,0
280,Gentoo,43.5,14.2,220.0,4700.0,0,0,0
281,Gentoo,50.7,15.0,223.0,5550.0,1,0,0
282,Gentoo,47.7,15.0,216.0,4750.0,0,0,0
283,Gentoo,46.4,15.6,221.0,5000.0,1,0,0
284,Gentoo,48.2,15.6,221.0,5100.0,1,0,0
285,Gentoo,46.5,14.8,217.0,5200.0,0,0,0
286,Gentoo,46.4,15.0,216.0,4700.0,0,0,0
287,Gentoo,48.6,16.0,230.0,5800.0,1,0,0
288,Gentoo,47.5,14.2,209.0,4600.0,0,0,0
289,Gentoo,51.1,16.3,220.0,6000.0,1,0,0
290,Gentoo,45.2,13.8,215.0,4750.0,0,0,0
291,Gentoo,45.2,16.4,223.0,5950.0,1,0,0
292,Gentoo,49.1,14.5,212.0,4625.0,0,0,0
293,Gentoo,52.5,15.6,221.0,5450.0,1,0,0
294,Gentoo,47.4,14.6,212.0,4725.0,0,0,0
295,Gentoo,50.0,15.9,224.0,5350.0,1,0,0
296,Gentoo,44.9,13.8,212.0,4750.0,0,0,0
297,Gentoo,50.8,17.3,228.0,5600.0,1,0,0
298,Gentoo,43.4,14.4,218.0,4600.0,0,0,0
299,Gentoo,51.3,14.2,218.0,5300.0,1,0,0
300,Gentoo,47.5,14.0,212.0,4875.0,0,0,0
301,Gentoo,52.1,17.0,230.0,5550.0,1,0,0
302,Gentoo,47.5,15.0,218.0,4950.0,0,0,0
303,Gentoo,52.2,17.1,228.0,5400.0,1,0,0
304,Gentoo,45.5,14.5,212.0,4750.0,0,0,0
305,Gentoo,49.5,16.1,224.0,5650.0,1,0,0
306,Gentoo,44.5,14.7,214.0,4850.0,0,0,0
307,Gentoo,50.8,15.7,226.0,5200.0,1,0,0
308,Gentoo,49.4,15.8,216.0,4925.0,1,0,0
309,Gentoo,46.9,14.6,222.0,4875.0,0,0,0
310,Gentoo,48.4,14.4,203.0,4625.0,0,0,0
311,Gentoo,51.1,16.5,225.0,5250.0,1,0,0
312,Gentoo,48.5,15.0,219.0,4850.0,0,0,0
313,Gentoo,55.9,17.0,228.0,5600.0,1,0,0
314,Gentoo,47.2,15.5,215.0,4975.0,0,0,0
315,Gentoo,49.1,15.0,228.0,5500.0,1,0,0
316,Gentoo,46.8,16.1,215.0,5500.0,1,0,0
317,Gentoo,41.7,14.7,210.0,4700.0,0,0,0
318,Gentoo,53.4,15.8,219.0,5500.0,1,0,0
319,Gentoo,43.3,14.0,208.0,4575.0,0,0,0
320,Gentoo,48.1,15.1,209.0,5500.0,1,0,0
321,Gentoo,50.5,15.2,216.0,5000.0,0,0,0
322,Gentoo,49.8,15.9,229.0,5950.0,1,0,0
323,Gentoo,43.5,15.2,213.0,4650.0,0,0,0
324,Gentoo,51.5,16.3,230.0,5500.0,1,0,0
325,Gentoo,46.2,14.1,217.0,4375.0,0,0,0
326,Gentoo,55.1,16.0,230.0,5850.0,1,0,0
327,Gentoo,48.8,16.2,222.0,6000.0,1,0,0
328,Gentoo,47.2,13.7,214.0,4925.0,0,0,0
329,Gentoo,46.8,14.3,215.0,4850.0,0,0,0
330,Gentoo,50.4,15.7,222.0,5750.0,1,0,0
331,Gentoo,45.2,14.8,212.0,5200.0,0,0,0
332,Gentoo,49.9,16.1,213.0,5400.0,1,0,0
